indicado,senador,tema,pagina,codigo,macrocategoria,categoria
Ellen Gracie,José Eduardo Dutra (PT),Forma de composição do STF,23,12,Organização e funcionamento do Judiciário,Composição e estrutura do STF
Ellen Gracie,Eduardo Suplicy (PT),Justiça na sociedade e na nação brasileira,24,26,Perfil e conduta do indicado,Posicionamento filosófico
Gilmar Mendes,Jefferson Péres (PDT),Interstício (quarentena) para indicação ao STF de quem tenha exercido cargo de confiança no Executivo e OAB,7,12,Organização e funcionamento do Judiciário,Composição e estrutura do STF
Gilmar Mendes,Jefferson Péres (PDT),Observância de critérios de urgência e relevância ao redigir medidas provisórias enquanto membro da AGU,8,5,Perfil e conduta do indicado,Trajetória profissional e pessoal do indicado
Gilmar Mendes,Jefferson Péres (PDT),"Recusa à redigir medida provisória contrária à própria consciência jurídica, enquanto membro da AGU",9,5,Perfil e conduta do indicado,Trajetória profissional e pessoal do indicado
Gilmar Mendes,Jefferson Péres (PDT),"Edição de medida provisória que impedia manifestações do Ministério Público, enquanto membro da AGU",10,5,Perfil e conduta do indicado,Trajetória profissional e pessoal do indicado
Gilmar Mendes,Jefferson Péres (PDT),Isenção para julgamento de ADI em que a parte interessada figure o governo federal,11,7,Perfil e conduta do indicado,"Impedimento, suspeição e isenção do indicado"
Gilmar Mendes,Jefferson Péres (PDT),Expressão utilizada pelo indicado 'manicômio judiciário',11,8,Perfil e conduta do indicado,Conduta pessoal e reputação do indicado
Gilmar Mendes,Antônio Carlos Júnior (PFL),Incidente de inconstitucionalidade e efeito vinculante,12,13,Jurisdição constitucional e separação de poderes,Controle de constitucionalidade
Gilmar Mendes,Antônio Carlos Júnior (PFL),Contribuições do direito comparado para aprimoramento das decisões do Supremo,13,26,Perfil e conduta do indicado,Posicionamento filosófico
Gilmar Mendes,José Eduardo Dutra (PT),Prestação de serviços do IDP para instituições jurídicas e valores recebidos,18,8,Perfil e conduta do indicado,Conduta pessoal e reputação do indicado
Gilmar Mendes,José Eduardo Dutra (PT),Parentesco com pessoas que constituem sociedade mantenedora de cursos jurídicos em Diamantino,19,8,Perfil e conduta do indicado,Conduta pessoal e reputação do indicado
Gilmar Mendes,José Eduardo Dutra (PT),Articulação junto ao Ministério da Educação para aprovação de curso jurídico não recomendado pela OAB,20,8,Perfil e conduta do indicado,Conduta pessoal e reputação do indicado
Gilmar Mendes,Waldeck Ornelas (PFL),População da cidade de Diamantino e mercado jurídico,20,8,Perfil e conduta do indicado,Conduta pessoal e reputação do indicado
Gilmar Mendes,José Eduardo Dutra (PT),Sociedade com sócio (ou ex-sócio) no DNER,20,8,Perfil e conduta do indicado,Conduta pessoal e reputação do indicado
Gilmar Mendes,José Eduardo Dutra (PT),Ação de improbidade em relação ao pagamento de precatórios no DNER,21,8,Perfil e conduta do indicado,Conduta pessoal e reputação do indicado
Gilmar Mendes,José Eduardo Dutra (PT),"Representação de Agnelo Queiroz, em relação à ação de improbidade",22,8,Perfil e conduta do indicado,Conduta pessoal e reputação do indicado
Gilmar Mendes,José Eduardo Dutra (PT),"Se redige, enquanto AGU, a edição de medidas provisórias",23,5,Perfil e conduta do indicado,Trajetória profissional e pessoal do indicado
Gilmar Mendes,José Eduardo Dutra (PT),"Se, enquanto AGU, participou da redação de medida provisória que transforma o cargo de AGU para ministro de Estado, dando-lhe foro privilegiado",23,5,Perfil e conduta do indicado,Trajetória profissional e pessoal do indicado
Gilmar Mendes,José Eduardo Dutra (PT),Se considera que a Suprema Corte alemã não tem legitimação política (quarentena na composição),24,12,Organização e funcionamento do Judiciário,Composição e estrutura do STF
Gilmar Mendes,José Eduardo Dutra (PT),Por que foi lacônico quanto aos requisitos para as indicações de juiz constitucional da Corte alemã na obra de doutoramento,24,5,Perfil e conduta do indicado,Trajetória profissional e pessoal do indicado
Gilmar Mendes,José Eduardo Dutra (PT),Possibilidade de propositura de ADPF por qualquer cidadão,26,13,Jurisdição constitucional e separação de poderes,Controle de constitucionalidade
Gilmar Mendes,José Eduardo Dutra (PT),"Se entende correta a decisão do STF, em 1977, de não submeter ao Senado as declarações de controle de constitucionalidade abstrato",27,13,Jurisdição constitucional e separação de poderes,Controle de constitucionalidade
Gilmar Mendes,Lúcio Alcântara (PSDB),Efeitos da ausência de manifestação do Senado sobre decisões do STF em controle abstrato,28,13,Jurisdição constitucional e separação de poderes,Controle de constitucionalidade
Gilmar Mendes,José Eduardo Dutra (PT),Se considera impedido de atuar no STF nos casos em que já acompanhou ou se manifestou como AGU,28,7,Perfil e conduta do indicado,"Impedimento, suspeição e isenção do indicado"
Gilmar Mendes,José Eduardo Dutra (PT),Se considera impedido de atuar no STF nas medidas provisórias que tenha sido consultado ou auxiliado a redatar,29,7,Perfil e conduta do indicado,"Impedimento, suspeição e isenção do indicado"
Gilmar Mendes,José Eduardo Dutra (PT),Quais motivos pelos quais a AGU não levou ao conhecimento da PGR o rol de provimento de cargos no âmbito da AGU,29,5,Perfil e conduta do indicado,Trajetória profissional e pessoal do indicado
Gilmar Mendes,José Eduardo Dutra (PT),Se visitou a CNBB para não apoiar à CPI da Corrupção,29,5,Perfil e conduta do indicado,Trajetória profissional e pessoal do indicado
Gilmar Mendes,José Eduardo Dutra (PT),Se considera que essa atribuição de pedir ir à CNBB é atribuição de um AGU,29,5,Perfil e conduta do indicado,Trajetória profissional e pessoal do indicado
Gilmar Mendes,Renan Calheiros (PMDB),Como compatibilizar o efeito vinculante com a independência dos juízes nas instâncias inferiores,31,13,Jurisdição constitucional e separação de poderes,Controle de constitucionalidade
Gilmar Mendes,Renan Calheiros (PMDB),"Na organização do Poder Judiciário, o STF deve exercer exclusivamente o papel de defesa da Constituição?",31,12,Organização e funcionamento do Judiciário,Composição e estrutura do STF
Gilmar Mendes,Pedro Simon (PMDB),Relevância e urgência em medidas provisórias: justificativas e crivo do Legislativo e Judiciário,34,11,Jurisdição constitucional e separação de poderes,Ativismo judicial e judicialização da política
Gilmar Mendes,Pedro Simon (PMDB),Foro privilegiado após extinção do mandato,35,16,Direito penal e política criminal,Foro privilegiado / prerrogativa de função
Gilmar Mendes,Pedro Simon (PMDB),Prazos de vista em processos de relevância são imperativos?,36,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Gilmar Mendes,Pedro Simon (PMDB),Proporcionalidade na representação do quinto para advogados e membros do Ministério Público,36,12,Organização e funcionamento do Judiciário,Composição e estrutura do STF
Gilmar Mendes,Pedro Simon (PMDB),Urnas eletrônicas e controle de fraudes,37,25,Outros ramos do Direito (não penal),Direito eleitoral
Gilmar Mendes,Pedro Simon (PMDB),Posicionamento sobre 'Lei da mordaça',38/39,24,Direitos fundamentais e minorias,Liberdade de expressão e imprensa
Gilmar Mendes,Pedro Simon (PMDB),Como alcançou o cargo de subsecretário geral da Presidência da República,40,6,Organização e funcionamento do Judiciário,Processo de indicação ao STF
Gilmar Mendes,Pedro Simon (PMDB),Se não teve nenhuma ligação com o governo a alçada a este cargo,41,6,Organização e funcionamento do Judiciário,Processo de indicação ao STF
Gilmar Mendes,Pedro Simon (PMDB),Quarentena para assumir o cargo de ministro do STF,41,12,Organização e funcionamento do Judiciário,Composição e estrutura do STF
Gilmar Mendes,Pedro Simon (PMDB),Se não tem intimidade com o presidente FHC,42,6,Organização e funcionamento do Judiciário,Processo de indicação ao STF
Gilmar Mendes,Pedro Simon (PMDB),Se o presidente FHC consulta o indicado rotineiramente,42,6,Organização e funcionamento do Judiciário,Processo de indicação ao STF
Gilmar Mendes,Pedro Simon (PMDB),Se possui 47 anos,42,5,Perfil e conduta do indicado,Trajetória profissional e pessoal do indicado
Gilmar Mendes,Pedro Simon (PMDB),Tempo de serviço público do indicado,42,5,Perfil e conduta do indicado,Trajetória profissional e pessoal do indicado
Cezar Peluso,João Capiberibe (PSB),Prescrição de crimes envolvendo membros do Tribunal de Justiça,17,17,Direito penal e política criminal,Direito penal e processual penal
Cezar Peluso,João Capiberibe (PSB),Redução da idade penal,18,17,Direito penal e política criminal,Direito penal e processual penal
Cezar Peluso,Sibá Machado (PT),Possibilidade de retroatividade dos efeitos de emendas constitucionais que versem sobre direitos individuais,18,13,Jurisdição constitucional e separação de poderes,Controle de constitucionalidade
Cezar Peluso,Sibá Machado (PT),Possibilidade de revisão constitucional,18,13,Jurisdição constitucional e separação de poderes,Controle de constitucionalidade
Cezar Peluso,Sibá Machado (PT),Controle externo do Judiciário,18,15,Organização e funcionamento do Judiciário,"Controle do Judiciário (CNJ, CNMP e controle externo)"
Cezar Peluso,Sibá Machado (PT),Mandato para o exercício da magistratura,18,12,Organização e funcionamento do Judiciário,Composição e estrutura do STF
Cezar Peluso,Sibá Machado (PT),Atuação do indicado em situações em que a lei foi omissa,18,11,Jurisdição constitucional e separação de poderes,Ativismo judicial e judicialização da política
Cezar Peluso,Sibá Machado (PT),Extinção de prescrição contra crimes bárbaros e hediondos,19,17,Direito penal e política criminal,Direito penal e processual penal
Cezar Peluso,Sibá Machado (PT),União homoafetiva,19,20,Direitos fundamentais e minorias,Direitos LGBTQIA+
Cezar Peluso,Almeida Lima (PDT),Colaboração do indicado para a Reforma do Judiciário,29,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Cezar Peluso,Eduardo Suplicy (PT),Constitucionalidade de PL que propõe alteração da Lei de Execução Penal que propõe o isolamento do condenado por até 720 dias,30,17,Direito penal e política criminal,Direito penal e processual penal
Cezar Peluso,Eduardo Suplicy (PT),Legalização das drogas,30,22,Direito penal e política criminal,Política criminal de drogas
Cezar Peluso,Eduardo Suplicy (PT),Forma de nomeação de membros do CNJ,30,15,Organização e funcionamento do Judiciário,"Controle do Judiciário (CNJ, CNMP e controle externo)"
Cezar Peluso,Eduardo Suplicy (PT),Conselhos do indicado sobre separação e divórcio,30,47,Outros ramos do Direito (não penal),Direito de família e sucessões
Cezar Peluso,Aloizio Mercadante (PT),Formas de ampliação do acesso à Justiça,36,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Cezar Peluso,Aloizio Mercadante (PT),Pontos centrais para o avanço na Reforma do Judiciário,36,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Cezar Peluso,Arthur Virgílio (PSDB),Crise do Judiciário e efeito vinculante como solução parcial,38,13,Jurisdição constitucional e separação de poderes,Controle de constitucionalidade
Cezar Peluso,Arthur Virgílio (PSDB),Morosidade da Justiça,38,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Cezar Peluso,Arthur Virgílio (PSDB),Posicionamento do indicado sobre as críticas da população ao Judiciário,38,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Cezar Peluso,Arthur Virgílio (PSDB),Formas de processamento de controle externo ao Judiciário,38,15,Organização e funcionamento do Judiciário,"Controle do Judiciário (CNJ, CNMP e controle externo)"
Cezar Peluso,Arthur Virgílio (PSDB),Posicionamento do indicado sobre possível carência de juízes no Brasil,38,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Cezar Peluso,Arthur Virgílio (PSDB),Sugestões para celeridade do Judiciário,38,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Cezar Peluso,Arthur Virgílio (PSDB),Papel do Supremo na Reforma do Judiciário,38,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Cezar Peluso,Tião Viana (PT),Controle do Senado sobre o STF e demais tribunais superiores,42,11,Jurisdição constitucional e separação de poderes,Ativismo judicial e judicialização da política
Cezar Peluso,Tião Viana (PT),Células embrionárias para pesquisa e possibilidade de regulação,42,35,Direitos fundamentais e minorias,Bioética e pesquisa científica
Cezar Peluso,Magno Malta (PL),Possibilidade de controle externo do Judiciário,43/44,15,Organização e funcionamento do Judiciário,"Controle do Judiciário (CNJ, CNMP e controle externo)"
Cezar Peluso,Magno Malta (PL),Arresto de bens no narcotráfico e inversão do ônus da prova,45,17,Direito penal e política criminal,Direito penal e processual penal
Cezar Peluso,Demóstenes Torres (PFL),Instrumentos de valorização do juízo de primeiro grau,46,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Cezar Peluso,Demóstenes Torres (PFL),Sentença autoexecutável,47,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Cezar Peluso,Demóstenes Torres (PFL),Súmula impeditiva de recurso,47,13,Jurisdição constitucional e separação de poderes,Controle de constitucionalidade
Cezar Peluso,Demóstenes Torres (PFL),Adoção de subteto pelos Estados,47,53,Outros ramos do Direito (não penal),Direito administrativo e gestão pública
Ayres Britto,Garibaldi Alves Filho (PMDB),Morosidade judicial e possibilidade de reorganização da carreira da magistratura e reforma processual com diminuição de recursos,8,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Ayres Britto,Demóstenes Torres (PFL),Papel do Supremo Tribunal Federal (mecanismos de filtragem de causas mais relevantes),8,12,Organização e funcionamento do Judiciário,Composição e estrutura do STF
Ayres Britto,Almeida Lima (PDT),Morosidade judicial e o problema de juízes que atuam sem eficiência,14,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Ayres Britto,Serys Slhessarenko (PT),Medida cautelar em Ação Declaratória de Constitucionalidade e modulação de efeitos das decisões,16,13,Jurisdição constitucional e separação de poderes,Controle de constitucionalidade
Ayres Britto,Serys Slhessarenko (PT),Exercício de controle sobre o Poder Judiciário,16,15,Organização e funcionamento do Judiciário,"Controle do Judiciário (CNJ, CNMP e controle externo)"
Ayres Britto,Aloízio Mercadante (PT),"Reforma do Judiciário: gestão de recursos públicos, formas processuais, procedimentos e acesso ao Judiciário",28,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Joaquim Barbosa,Pedro Simon (PMDB),Separação de poderes no Brasil,11,11,Jurisdição constitucional e separação de poderes,Ativismo judicial e judicialização da política
Joaquim Barbosa,Pedro Simon (PMDB),Modelo federalista brasileiro,11,32,Jurisdição constitucional e separação de poderes,Federalismo e autonomia dos entes federativos
Joaquim Barbosa,Pedro Simon (PMDB),Estabilidade do Supremo Tribunal Federal,12,12,Organização e funcionamento do Judiciário,Composição e estrutura do STF
Joaquim Barbosa,Eduardo Suplicy (PT),Ascensão do Partido dos Trabalhadores,16,26,Perfil e conduta do indicado,Posicionamento filosófico
Joaquim Barbosa,Eduardo Suplicy (PT),Princípio de justiça de John Rawls,16,26,Perfil e conduta do indicado,Posicionamento filosófico
Joaquim Barbosa,Eduardo Suplicy (PT),Reforma agrária,17,27,Outros ramos do Direito (não penal),Direito agrário e ambiental
Joaquim Barbosa,Tião Viana (PT),Criação de um Conselho Constitucional no processo legislativo,18,11,Jurisdição constitucional e separação de poderes,Ativismo judicial e judicialização da política
Joaquim Barbosa,Tião Viana (PT),Relato de experiência pessoal de discriminação vivida pelo indicado,18,5,Perfil e conduta do indicado,Trajetória profissional e pessoal do indicado
Joaquim Barbosa,Serys Slhessarenko (PT),Questão de gênero: discriminação e violência contra a mulher,19,19,Direitos fundamentais e minorias,Direitos de gênero
Joaquim Barbosa,Serys Slhessarenko (PT),Igualdade racial,20,36,Direitos fundamentais e minorias,Igualdade racial e cotas
Joaquim Barbosa,Juvêncio da Fonseca (PMDB),Autorização para o trabalho de crianças e adolescentes (menores de 16 anos),26,48,Direitos fundamentais e minorias,Direitos da criança e do adolescente
Joaquim Barbosa,Sérgio Cabral (PMDB),Atuação das agências reguladoras,27,45,Outros ramos do Direito (não penal),Agências reguladoras
Joaquim Barbosa,Sérgio Cabral (PMDB),Federalismo e a autonomia dos Estados no campo da legislação concorrente,27,32,Jurisdição constitucional e separação de poderes,Federalismo e autonomia dos entes federativos
Joaquim Barbosa,Sérgio Cabral (PMDB),Aposentadoria compulsória ampliada para 75 anos de idade,27,12,Organização e funcionamento do Judiciário,Composição e estrutura do STF
Joaquim Barbosa,Sérgio Cabral (PMDB),Taxação de inativos na previdência,27,50,Outros ramos do Direito (não penal),Previdência
Joaquim Barbosa,Antônio Carlos Valadares (PSB),Queixa constitucional,33,13,Jurisdição constitucional e separação de poderes,Controle de constitucionalidade
Joaquim Barbosa,Antônio Carlos Valadares (PSB),Reforma do Judiciário,34,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Joaquim Barbosa,João Capiberibe (PSB),Controle externo do Judiciário,34,15,Organização e funcionamento do Judiciário,"Controle do Judiciário (CNJ, CNMP e controle externo)"
Eros Grau,Garibaldi Alves Filho (PMDB),Controle externo sobre o Judiciário,10,15,Organização e funcionamento do Judiciário,"Controle do Judiciário (CNJ, CNMP e controle externo)"
Eros Grau,Garibaldi Alves Filho (PMDB),Súmula Vinculante,10,13,Jurisdição constitucional e separação de poderes,Controle de constitucionalidade
Eros Grau,Garibaldi Alves Filho (PMDB),Excesso de recursos no processo,10,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Eros Grau,Antônio Carlos Magalhães (PFL),Aposentadoria compulsória de magistrados por corrupção e manutenção de vencimento,12,53,Outros ramos do Direito (não penal),Direito administrativo e gestão pública
Eros Grau,Antônio Carlos Magalhães (PFL),PEC da Bengala (expressamente disse que não queria resposta),12,12,Organização e funcionamento do Judiciário,Composição e estrutura do STF
Eros Grau,Eduardo Azeredo (PSDB),Reforma do Judiciário e os crimes contra direitos humanos,14,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Eros Grau,Aloizio Mercadante (PT),Juízo arbitral para entidades públicas,15,53,Outros ramos do Direito (não penal),Direito administrativo e gestão pública
Eros Grau,Aloizio Mercadante (PT),Reforma do Judiciário e controle constitucional,15,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Eros Grau,Serys Slhessarenko (PT),Reforma do Judiciário e duração razoável do processo,17,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Eros Grau,Serys Slhessarenko (PT),Controle administrativo sobre a magistratura,17,15,Organização e funcionamento do Judiciário,"Controle do Judiciário (CNJ, CNMP e controle externo)"
Eros Grau,Serys Slhessarenko (PT),Extinção do processo de execução,17,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Eros Grau,Serys Slhessarenko (PT),Poder investigativo do Ministério Público,17,17,Direito penal e política criminal,Direito penal e processual penal
Eros Grau,Cesar Borges (PFL),Economia brasileira (reajustes tributários e previdenciários),18/19,31,Outros ramos do Direito (não penal),Direito tributário e fiscal
Eros Grau,Cesar Borges (PFL),Federalismo e distribuição de recursos,19,32,Jurisdição constitucional e separação de poderes,Federalismo e autonomia dos entes federativos
Eros Grau,Demóstenes Torres (PFL),Juízo arbitral para entidades públicas,20,53,Outros ramos do Direito (não penal),Direito administrativo e gestão pública
Eros Grau,Demóstenes Torres (PFL),Escola da Magistratura,21,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Eros Grau,Demóstenes Torres (PFL),Foro privilegiado nas ações civis públicas e ações populares,21,16,Direito penal e política criminal,Foro privilegiado / prerrogativa de função
Eros Grau,Demóstenes Torres (PFL),Conflito entre lei federal e lei local estar sob jurisdição do STF ou STJ,21,32,Jurisdição constitucional e separação de poderes,Federalismo e autonomia dos entes federativos
Eros Grau,Demóstenes Torres (PFL),Experiência prévia para carreiras de juízes e promotores,21,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Eros Grau,Demóstenes Torres (PFL),Quarentena na Reforma do Judiciário,21,12,Organização e funcionamento do Judiciário,Composição e estrutura do STF
Eros Grau,Demóstenes Torres (PFL),Composição do CNJ e do CNMP,21,15,Organização e funcionamento do Judiciário,"Controle do Judiciário (CNJ, CNMP e controle externo)"
Eros Grau,Demóstenes Torres (PFL),Nepotismo,21,53,Outros ramos do Direito (não penal),Direito administrativo e gestão pública
Eros Grau,José Jorge (PFL),Instauração de Comissão Parlamentar de Inquérito,23,11,Jurisdição constitucional e separação de poderes,Ativismo judicial e judicialização da política
Eros Grau,Maguito Vilela (PMDB),Controle externo único do Judiciário,27,15,Organização e funcionamento do Judiciário,"Controle do Judiciário (CNJ, CNMP e controle externo)"
Cármen Lúcia,Arthur Virgílio (PSDB),Modernização para adaptar a justiça à realidade social,10,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Cármen Lúcia,Eduardo Suplicy (PT),Contribuições para melhorar a legislação penal e penitenciária no Brasil,14,17,Direito penal e política criminal,Direito penal e processual penal
Cármen Lúcia,Pedro Simon (PMDB),Combate aos crimes de colarinho branco e corrupção,16,18,Outros ramos do Direito (não penal),Improbidade administrativa e combate à corrupção
Cármen Lúcia,Ramez Tebet (PMDB),Decisões liminares monocráticas sobre políticas públicas e a ingerência entre poderes,21,11,Jurisdição constitucional e separação de poderes,Ativismo judicial e judicialização da política
Cármen Lúcia,Ideli Salvatti (PT),Combate às facções e crime organizado nos presídios,22,17,Direito penal e política criminal,Direito penal e processual penal
Cármen Lúcia,Edison Lobão (PFL),Morosidade do Judiciário,28,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Cármen Lúcia,Sibá Machado (PT),Implementação de cota de gênero nos três poderes,31,19,Direitos fundamentais e minorias,Direitos de gênero
Menezes Direito,Valter Pereira (PMDB),Utilização de células-tronco em pesquisas,4,35,Direitos fundamentais e minorias,Bioética e pesquisa científica
Menezes Direito,Jefferson Peres (PDT),"Esclarecimento sobre acusação da imprensa em relação ao julgamento de um processo em que o indicado não pediu impedimento, embora houvesse um parente habilitado e manifestado nos autos",13,8,Perfil e conduta do indicado,Conduta pessoal e reputação do indicado
Menezes Direito,Mozarildo Cavalcante (PTB),Reforma do Código Penal,17,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Menezes Direito,Mozarildo Cavalcante (PTB),Foro especial,17,16,Direito penal e política criminal,Foro privilegiado / prerrogativa de função
Menezes Direito,Serys Slhessarenko (PT),Reforma do Código de Processo Civil,18,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Menezes Direito,Serys Slhessarenko (PT),Estado laico,18,37,Direitos fundamentais e minorias,Estado laico e liberdade religiosa
Menezes Direito,Aloizio Mercadante (PT),Aprimoramento do Código do Consumidor,22,46,Outros ramos do Direito (não penal),Direito do consumidor
Menezes Direito,Antônio Carlos Valadares (PSB),Julgamentos com base em princípios de Direito,24,26,Perfil e conduta do indicado,Posicionamento filosófico
Menezes Direito,Antônio Carlos Valadares (PSB),Direito do trabalho: papel e possibilidade de flexibilização,24,30,Outros ramos do Direito (não penal),Direito do trabalho
Menezes Direito,Antônio Carlos Valadares (PSB),Liberdade de imprensa e informação vs. Direito à intimidade,24,24,Direitos fundamentais e minorias,Liberdade de expressão e imprensa
Menezes Direito,Eduardo Suplicy (PT),Criminalização de movimentos sociais,28,17,Direito penal e política criminal,Direito penal e processual penal
Menezes Direito,Eduardo Suplicy (PT),Controle externo do Poder Judiciário (CNJ),29,15,Organização e funcionamento do Judiciário,"Controle do Judiciário (CNJ, CNMP e controle externo)"
Menezes Direito,Eduardo Suplicy (PT),Criminalização do aborto,29,21,Direitos fundamentais e minorias,Aborto
Menezes Direito,Pedro Simon (PMDB),Origem do sobrenome 'Direito',32/33,5,Perfil e conduta do indicado,Trajetória profissional e pessoal do indicado
Menezes Direito,José Nery (PSOL),Ditadura e Lei da Anistia,37,38,Casos e eventos específicos,Lei da Anistia e ditadura
Menezes Direito,José Nery (PSOL),Direito do Trabalho: flexibilização em razão de negociação coletiva,37,30,Outros ramos do Direito (não penal),Direito do trabalho
Menezes Direito,José Nery (PSOL),Justiça trabalhista e competência para julgar casos de trabalho análogo à escravidão,37,30,Outros ramos do Direito (não penal),Direito do trabalho
Menezes Direito,José Nery (PSOL),Justiça trabalhista e competência para julgar indenização por dano moral em ação coletiva,37,30,Outros ramos do Direito (não penal),Direito do trabalho
Menezes Direito,José Nery (PSOL),Justiça trabalhista e competência para julgar indenização por acidente de trabalho,37,30,Outros ramos do Direito (não penal),Direito do trabalho
Menezes Direito,Arthur Virgílio (PSDB),Greve de médicos,39,30,Outros ramos do Direito (não penal),Direito do trabalho
Dias Toffoli,José Agripino (DEM),Extradição de Cesare Battisti,29,44,Casos e eventos específicos,Extradição de Cesare Battisti
Dias Toffoli,José Agripino (DEM),Redução da Maioridade Penal,29,17,Direito penal e política criminal,Direito penal e processual penal
Dias Toffoli,José Agripino (DEM),Revisão da Lei de Anistia,29,38,Casos e eventos específicos,Lei da Anistia e ditadura
Dias Toffoli,José Agripino (DEM),Cotas raciais nas universidades,29,36,Direitos fundamentais e minorias,Igualdade racial e cotas
Dias Toffoli,José Agripino (DEM),Candidatos eleitorais condenados ('Ficha Suja'),29,25,Outros ramos do Direito (não penal),Direito eleitoral
Dias Toffoli,José Agripino (DEM),Autodeterminação dos povos e a atuação do Brasil em Honduras,29,28,Outros ramos do Direito (não penal),Direito internacional e tratados
Dias Toffoli,José Agripino (DEM),Reeleição (3º mandato),29,25,Outros ramos do Direito (não penal),Direito eleitoral
Dias Toffoli,Demóstenes (DEM),Participação do indicado em eventual julgamento de Battisti,30,7,Perfil e conduta do indicado,"Impedimento, suspeição e isenção do indicado"
Dias Toffoli,Álvaro Dias (PSDB),"Se participou, direta ou indiretamente de episódios do Mensalão",36,8,Perfil e conduta do indicado,Conduta pessoal e reputação do indicado
Dias Toffoli,Álvaro Dias (PSDB),Se terá imparcialidade nos julgamentos do Mensalão,36,7,Perfil e conduta do indicado,"Impedimento, suspeição e isenção do indicado"
